Name,"Years active","Proven victims","Possible victims"
"Carson, Michael Bear",1981–1983,3,12
"Carson, Suzan",1981–1983,3,12
"Castro, Edward",1986–1987,3,3
"Catlin, Steven David",1976–1984,3,3
"Chadd, Billy Lee",1974–1978,3,4
"Cherry, Ervin",1993–1994,3,3
"Coleman, Phillip",1943,3,23
"Collins, Harvey",1953–1955,3,3
"Corwin, Daniel Lee",1987,3,3
"Covington, Juan",1998–2005,3,3+
"Cox, Frederick Pete",1997,3,3
"Cunningham, Mark William",1983,3,3
"Cutlip, Jeffrey Paul",1975–1993,3,4
"Davis, Bruce Alan",1971–1982,3,33
"Davis, Charles William",1975–1977,3,3+
"Davis, Frank",1971–1983,3,3
"DeJesus, Carmello",1971–1973,3,4
"Devonshire, William",2003–2022,3,3
"Dewantoro, Harnoko",1991–1992,3,3
"Dodd, Westley Allan",1989,3,3
"Dorsey, Leon",1994,3,3
"Dowler, David",1983–1987,3,3
"Duffy, Charles Lee",1997,3,3
"Dugan, Brian",1983–1985,3,3
"Duncan, Vender",1955–1957,3,3
"Dunkle, Jon",1981–1985,3,3
"Edwards, Mack Ray",1953–1970,3,18
"Eisele, Joseph",1867,3,3
"Erskine, Scott",1989–1993,3,3+
"Evans, Donald Leroy",1985–1991,3,70
"Evonitz, Richard",1996–1997,3,3+
"Fernandes, Roberto Wagner",2000–2001,3,4+
"Fernandez, Raymond",1947–1949,3,20
"Figueroa, Danny",1986,3,3
"Fish, Albert",1924–1932,3,8+
"Flowers, Norman",2004–2005,3,4
"Ford, Lester",1991,3,3
"Forte, Linwood",1990,3,4
"Frederick, James Anthony",1991–1992,3,3
"Gardner, Ray Dempsey",1941–1949,3,3
"Garduno, Santiago",1900s–1932,3,4
"Gargiulo, Michael",1993–2008,3,10
"Garrison, Wayne Henry",1972–1989,3,3
"Gay, Randy",1978–2011,3,3
"Gayles, Clifford",1934–1947,3,3
"Getreu, John",1963–1974,3,4+
"Gibson, Keith",2008–2021,3,7
"Gibson, Mose",1908–1920,3,7+
"Gibson, William Clyde",2002–2012,3,3+
"Gifford, Bertha",1900–1928,3,17
"Glatman, Harvey",1957–1958,3,4
"Glaze, Billy",1986–1987,3,20+
"Gleason, Robert Charles",2007–2010,3,3+
"Gray, Dana Sue",1994,3,3
"Gray, Marvin",1971–1992,3,41
"Greenwell, Harry Edward",1987–1989,3,3
"Griffin, Jeffery Lee",1978–1979,3,3
"Guerrero, Jose",1995–1998,3,3
"Hall, Andreas",1847–1848,3,3
"Harris, DeWayne Lee",1997–1998,3,3+
"Harris, Warren",1977,3,4
"Hayes, Robert",2005–2006,3,7+
"Hayter, John Price",1953–1986,3,3
"Hearn, John Wayne",1985,3,3
"Heirens, William",1945–1946,3,3
"Henry, John Ruthell",1975–1985,3,3
"Hernandez, Ramon Torres",1994–2001,3,5+
"Herzog, Loren",1984–1999,3,19
"Hickey, J. Frank",1883–1911,3,3
"Hinton, Ronald",1996–1999,3,3
"Hooker, John Michael",1971–1988,3,3
"Hopkins, John W.",1972–1978,3,3+
"Hughes, Mervin Ray",1986–1999,3,4+
