cue,total,cue_mfd2,response_mfd1,cue_mfd1,response_mfd2,cue_hte,response_hte,response_emotion,cue_emotion,cue_moral,response_moral,link,pos,previous_link,lower,is_synonym,degree,pos_score,neg_score,polarity
h,42.0,0,0,0,4,0,5,1,0.0,0,2,0.1337579520373134,n,0.0795454545454545,True,,88.0,0.056818181818181816,0.022727272727272728,0.5170454545454546
ha,32.0,0,0,0,0,0,4,3,0.0,0,0,0.0150205011399984,n,0.0,True,,96.0,0.0,0.0,0.5
habit,50.0,0,2,0,7,0,5,1,0.0,0,2,0.3946532500372799,n v,0.2525252525252525,True,,99.0,0.15151515151515152,0.0,0.5757575757575758
habitat,80.0,0,0,0,0,0,3,0,0.0,0,1,0.0601978176735144,n,0.0,True,,98.0,0.0,0.0,0.5
hack,37.0,0,1,0,3,21,3,0,0.0,0,4,0.0770557454414932,n v,0.03125,True,,96.0,0.0,0.03125,0.484375
hacker,27.0,0,2,0,3,0,5,0,0.0,0,4,0.1166830441097855,n,0.0606060606060606,True,,99.0,0.0,0.0,0.5
had,17.0,0,0,0,0,0,1,3,0.0,0,0,0.0339546412595092,v,0.0206185567010309,True,,97.0,0.0,0.020618556701030927,0.4896907216494845
haggle,65.0,0,0,0,2,0,2,1,0.0,0,0,0.0977007502408884,n v,0.021505376344086,True,,93.0,0.0,0.0,0.5
haha,5.0,0,0,0,0,0,0,0,0.0,0,0,0.0011727484530379,,0.0,True,,99.0,0.0,0.0,0.5
haiku,23.0,0,0,0,0,0,1,0,0.0,0,0,0.0272790862125951,n,0.0,True,,91.0,0.0,0.0,0.5
hail,29.0,0,0,0,3,0,2,1,0.0,0,1,0.1281322960280518,n v,0.0808080808080808,True,,99.0,0.08080808080808081,0.0,0.5404040404040404
hair,36.0,0,0,0,0,0,6,0,0.0,0,0,0.0224656453394354,n,0.0,True,,100.0,0.0,0.0,0.5
haircut,19.0,0,2,0,1,0,2,0,0.0,0,1,0.0297889361582718,n,0.0,True,,100.0,0.0,0.0,0.5
hairdo,16.0,0,0,0,0,0,2,0,0.0,0,0,0.0087047444659167,n,0.0,True,,94.0,0.0,0.0,0.5
hairdresser,26.0,0,0,0,1,0,4,4,0.0,0,1,0.0306714171083402,n,0.0,True,,100.0,0.0,0.0,0.5
hairdryer,23.0,0,0,0,0,0,5,1,0.0,0,0,0.0139742339980561,,0.0,True,,100.0,0.0,0.0,0.5
hairless,11.0,0,0,0,1,0,2,0,0.0,0,0,0.0059966475780912,a,0.0,True,,100.0,0.0,0.0,0.5
hairspray,32.0,0,1,0,0,0,3,0,0.0,0,0,0.0165228164775024,,0.0,True,,99.0,0.0,0.0,0.5
hairstyle,23.0,0,0,0,0,0,1,0,0.0,0,0,0.0146760272768221,n,0.0,True,,99.0,0.0,0.0,0.5
hairy,36.0,0,1,0,2,0,4,1,0.0,0,0,0.0467720972995763,a s,0.0204081632653061,True,,98.0,0.0,0.0,0.5
half,52.0,0,1,0,4,0,2,1,0.0,0,1,0.1004282169774121,a r n s,0.05,True,,100.0,0.04,0.0,0.52
hall,35.0,0,0,0,0,0,2,0,0.0,0,0,0.012673969879327,n,0.0,True,,100.0,0.0,0.0,0.5
hallelujah,71.0,0,1,0,12,0,0,3,0.0,0,8,0.4372103097429013,n,0.25,True,,100.0,0.25,0.0,0.625
hallmark,15.0,0,0,0,0,0,2,0,0.0,0,0,0.0060613830681243,n,0.0,True,,97.0,0.0,0.0,0.5
hallucinate,73.0,0,1,0,2,0,2,0,0.0,0,0,0.4441369167048646,v,0.35,True,,100.0,0.0,0.35,0.325
hallucination,66.0,0,1,0,3,0,2,0,0.0,0,1,0.30335074794471,n,0.2244897959183673,True,,98.0,0.0,0.21428571428571427,0.39285714285714285
hallucinogen,85.0,0,1,0,3,0,1,0,0.0,0,1,0.6402394371937309,n,0.4479166666666667,True,,96.0,0.0,0.4375,0.28125
hallway,30.0,0,0,0,0,0,1,0,0.0,0,0,0.0124787227809784,n,0.0,True,,100.0,0.0,0.0,0.5
halo,79.0,0,2,0,6,0,1,0,0.0,0,5,0.597997690618459,n,0.4242424242424242,True,,99.0,0.42424242424242425,0.0,0.7121212121212122
halt,4.0,0,1,0,0,0,0,0,0.0,0,0,0.0038717067583046,s n v,0.0,True,,97.0,0.0,0.0,0.5
ham,81.0,0,1,0,2,0,3,0,0.0,0,1,0.1088153312946924,n v,0.04,True,,100.0,0.0,0.0,0.5
hamburger,161.0,0,1,0,5,0,4,1,0.0,0,3,0.2354673998212045,n,0.125,True,,200.0,0.11,0.01,0.55
