cue,total,cue_mfd2,response_mfd1,cue_mfd1,response_mfd2,cue_hte,response_hte,response_emotion,cue_emotion,cue_moral,response_moral,link,pos,previous_link,lower,is_synonym,degree
murmur,20.0,0,1,0,0,0,2,1,0.0,0,0,0.01960042202466445,n v,0.0,True,,99.0
murmuring,17.0,0,0,0,1,0,2,2,0.0,0,0,0.013623819674000963,n s v,0.0,True,,100.0
muscle,52.0,0,2,0,4,0,3,3,0.0,0,0,0.014440822189916103,n v,0.0,True,,199.0
muscular,19.0,0,0,0,2,0,1,1,0.0,0,1,0.017995619459905177,s a,0.0,True,,100.0
muse,27.0,0,0,0,3,0,1,3,0.0,0,2,0.03301701368111371,n v,0.020202020202020204,True,,99.0
museum,47.0,0,0,0,0,0,1,0,0.0,0,0,0.01340228201971986,n,0.0,True,,99.0
mush,29.0,0,2,0,3,0,1,1,0.0,0,1,0.024947906717324487,n v,0.0,True,,86.0
mushroom,30.0,0,4,0,5,0,4,2,0.0,0,3,0.028056505623719537,n v,0.015228426395939087,True,,197.0
music,27.0,0,0,0,3,0,0,4,0.0,0,0,0.011651185187202177,n,0.0,True,,99.0
musical,19.0,0,1,0,0,0,1,1,0.0,0,0,0.0072026102723311515,n a,0.0,True,,100.0
musical instrument,22.0,0,0,0,0,0,3,1,0.0,0,0,0.008889935142627174,,0.0,True,,100.0
musician,18.0,0,0,0,1,0,2,0,0.0,0,0,0.010328313749742322,n,0.0,True,,100.0
musk,43.0,0,0,0,2,0,1,0,0.0,0,0,0.027771637805527796,n,0.0,True,,94.0
mussel,9.0,0,1,0,1,0,0,0,0.0,0,1,0.004094065656565656,n,0.0,True,,96.0
must,53.0,0,4,0,4,0,4,4,0.0,0,4,0.08174560805336081,n s,0.05,True,,100.0
mustache,8.0,0,1,0,0,0,2,0,0.0,0,0,0.003964194264020089,n,0.0,True,,99.0
mustang,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0003061224489795918,n,0.0,True,,98.0
mustard,9.0,0,0,0,1,0,0,1,0.0,0,0,0.0033326222951492153,n,0.0,True,,100.0
mutant,30.0,0,1,0,1,0,3,0,0.0,0,0,0.016228038056622714,n a,0.0,True,,100.0
mute,21.0,0,0,0,0,0,1,1,0.0,0,0,0.0187417439703154,n s v,0.0,True,,100.0
mutiny,76.0,21,7,0,11,0,5,1,0.0,0,9,0.3106149229653885,n v,0.21978021978021978,True,,91.0
mutter,24.0,0,1,0,1,0,1,1,0.0,0,0,0.012430055045486157,n v,0.0,True,,96.0
mutton,5.0,0,0,0,0,0,0,0,0.0,0,0,0.002868686868686869,n,0.0,True,,95.0
mutual,58.0,0,3,0,5,0,2,4,0.0,0,4,0.3188073006592272,s a,0.23469387755102042,True,,98.0
my,42.0,0,2,0,2,0,4,1,0.0,0,1,0.016030848482100808,,0.0,True,,100.0
myriad,19.0,0,0,0,0,0,2,0,0.0,0,0,0.011954015384095516,n s,0.0,True,,89.0
myself,7.0,0,2,0,1,0,0,2,0.0,0,1,0.0029608291825048328,,0.0,True,,97.0
mystery,25.0,0,0,0,3,20,3,0,0.0,0,3,0.08523290701083236,n,0.05,True,,100.0
mystic,30.0,0,1,0,5,0,2,0,0.0,0,3,0.08216922978220353,n s a,0.030612244897959183,True,,98.0
mystical,17.0,0,0,0,3,0,2,0,0.0,0,2,0.04116694298203123,s a,0.02,True,,100.0
myth,34.0,0,0,0,3,0,3,0,0.0,0,3,0.11951422228975829,n,0.06,True,,100.0
mythology,29.0,0,0,0,3,0,1,0,0.0,0,2,0.11906440049240939,n,0.09,True,,100.0
n,8.0,0,1,0,2,0,1,0,0.0,0,2,0.030741531943351524,n,0.02127659574468085,True,,94.0
nacho,3.0,0,0,0,0,0,0,0,0.0,0,0,0.0014141414141414144,n,0.0,True,,99.0
nag,29.0,0,2,0,1,0,3,2,0.0,0,1,0.02041716024089022,n v,0.0,True,,98.0
nail,21.0,0,0,0,0,0,6,0,0.0,0,0,0.004964298176055426,n v,0.0,True,,198.0
nail polish,31.0,0,0,0,0,0,2,1,0.0,0,0,0.015449764469735222,,0.0,True,,99.0
naive,35.0,0,1,0,0,0,4,0,0.0,0,1,0.27159221601867733,s a,0.20202020202020202,True,,99.0
name,31.0,0,0,0,0,0,2,0,0.0,0,0,0.006934414686493619,n v,0.0,True,,98.0
nana,36.0,0,2,0,1,0,1,1,0.0,0,0,0.008683911894653612,,0.0,True,,95.0
nanny,50.0,0,2,0,5,0,2,2,0.0,0,2,0.059336599208738926,n,0.030303030303030304,True,,99.0
nap,77.0,0,0,0,0,0,2,0,0.0,0,0,0.0149535175879397,n v,0.0,True,,100.0
napkin,13.0,0,3,0,2,0,0,0,0.0,0,2,0.030030160005270465,n,0.02,True,,100.0
nappy,34.0,0,1,0,1,0,1,1,0.0,0,1,0.013735010818075504,n s,0.0,True,,91.0
narcotic,84.0,0,1,0,5,0,0,2,0.0,0,1,0.10154456248013681,n s a,0.0,True,,98.0
narrative,5.0,0,0,0,0,0,0,0,0.0,0,0,0.0011089257596950703,n s,0.0,True,,100.0
narrow,25.0,0,0,0,0,0,3,1,0.0,0,0,0.0071629743112427095,n s a v,0.0,True,,99.0
nasal,1.0,0,0,0,0,0,0,0,0.0,0,0,0.00101010101010101,n s a,0.0,True,,100.0
nasty,67.0,0,5,0,8,21,6,3,21.0,0,4,0.4247775146350893,s a,0.3333333333333333,True,,99.0
nation,163.0,37,9,37,10,0,4,2,0.0,37,5,0.2665217518682414,n,0.1457286432160804,True,,199.0
